"Qualifying Name","Name of Area","FIPS","Nation","Metropolitan Statistical Area","County/County Subdivision","Total Population 2017","Median Family Income (5-year ACS)","Low Income Limits (Up to 80% of Local Area Median Income) for One Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Two Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Three Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Four Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Five Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Six Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Seven Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Eight Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for One Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Two Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Three Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Four Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Five Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Six Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Seven Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Eight Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for One Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Two Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Three Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Four Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Five Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Six Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Seven Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Eight Person Families","Fair Market Rent for Efficiency","Fair Market Rent for One Bedroom","Fair Market Rent for Two Bedrooms","Fair Market Rent for Three Bedrooms","Fair Market Rent for Four Bedrooms","FY 2020 Fair Market Rent (Two-Bedrooms)","FY 2019 Fair Market Rent (Two-Bedrooms)","Fair Market Rent (Two-Bedrooms) Percent Change between 2019 and 2020","Fair Market Rent (Two-Bedrooms) Dollar Change between 2019 and 2020"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_MSA,Geo_CCS,SE_T001_001,SE_T002_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005,SE_T003_006,SE_T003_007,SE_T003_008,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002
"Jefferson town, Maine","Jefferson town","2301535695","00",,"01535695",2490,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Louds Island UT, Maine","Louds Island UT","2301541280","00",,"01541280",0,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Monhegan plantation, Maine","Monhegan plantation","2301546335","00",,"01546335",50,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Newcastle town, Maine","Newcastle town","2301548645","00",,"01548645",1655,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Nobleboro town, Maine","Nobleboro town","2301549660","00",,"01549660",1715,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Somerville town, Maine","Somerville town","2301569645","00",,"01569645",445,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"South Bristol town, Maine","South Bristol town","2301570240","00",,"01570240",1000,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Southport town, Maine","Southport town","2301571955","00",,"01571955",600,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Waldoboro town, Maine","Waldoboro town","2301579550","00",,"01579550",4995,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Westport Island town, Maine","Westport Island town","2301584140","00",,"01584140",720,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Whitefield town, Maine","Whitefield town","2301585010","00",,"01585010",2370,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Wiscasset town, Maine","Wiscasset town","2301587075","00",,"01587075",3675,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Andover town, Maine","Andover town","2301701325","00",,"01701325",550,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Bethel town, Maine","Bethel town","2301704825","00",,"01704825",2645,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Brownfield town, Maine","Brownfield town","2301708150","00",,"01708150",1430,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Buckfield town, Maine","Buckfield town","2301708710","00",,"01708710",1960,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Byron town, Maine","Byron town","2301709550","00",,"01709550",95,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Canton town, Maine","Canton town","2301710005","00",,"01710005",820,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Denmark town, Maine","Denmark town","2301717250","00",,"01717250",1090,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Dixfield town, Maine","Dixfield town","2301717740","00",,"01717740",2020,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Fryeburg town, Maine","Fryeburg town","2301726910","00",,"01726910",3410,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Gilead town, Maine","Gilead town","2301727505","00",,"01727505",105,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Greenwood town, Maine","Greenwood town","2301729710","00",,"01729710",700,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Hanover town, Maine","Hanover town","2301731110","00",,"01731110",180,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Hartford town, Maine","Hartford town","2301731670","00",,"01731670",1135,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Hebron town, Maine","Hebron town","2301732370","00",,"01732370",1850,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Hiram town, Maine","Hiram town","2301733315","00",,"01733315",1730,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Lincoln plantation, Maine","Lincoln plantation","2301739422","00",,"01739422",40,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Lovell town, Maine","Lovell town","2301741365","00",,"01741365",1060,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Magalloway plantation, Maine","Magalloway plantation","2301742835","00",,"01742835",35,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Mexico town, Maine","Mexico town","2301745285","00",,"01745285",2620,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Milton UT, Maine","Milton UT","2301746105","00",,"01746105",170,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Newry town, Maine","Newry town","2301749275","00",,"01749275",360,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"North Oxford UT, Maine","North Oxford UT","2301752575","00",,"01752575",4,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Norway town, Maine","Norway town","2301754000","00",,"01754000",4960,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Otisfield town, Maine","Otisfield town","2301755960","00",,"01755960",2630,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Oxford town, Maine","Oxford town","2301756310","00",,"01756310",4045,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Paris town, Maine","Paris town","2301756625","00",,"01756625",5150,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Peru town, Maine","Peru town","2301758270","00",,"01758270",1360,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Porter town, Maine","Porter town","2301760405","00",,"01760405",1600,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Roxbury town, Maine","Roxbury town","2301764185","00",,"01764185",250,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Rumford town, Maine","Rumford town","2301764290","00",,"01764290",5730,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"South Oxford UT, Maine","South Oxford UT","2301771755","00",,"01771755",430,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Stoneham town, Maine","Stoneham town","2301774510","00",,"01774510",335,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Stow town, Maine","Stow town","2301774685","00",,"01774685",395,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Sumner town, Maine","Sumner town","2301775035","00",,"01775035",1070,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Sweden town, Maine","Sweden town","2301775595","00",,"01775595",345,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Upton town, Maine","Upton town","2301778465","00",,"01778465",35,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Waterford town, Maine","Waterford town","2301780635","00",,"01780635",1455,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"West Paris town, Maine","West Paris town","2301783890","00",,"01783890",2115,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Woodstock town, Maine","Woodstock town","2301787355","00",,"01787355",1330,58400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,623,627,800,1063,1258,800,836,-4.3062,-36
"Alton town, Maine","Alton town","2301901115","00",,"01901115",950,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Argyle UT, Maine","Argyle UT","2301901500","00",,"01901500",195,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Bangor city, Maine","Bangor city","2301902795","00",,"01902795",32235,72900,40850,46650,52500,58300,63000,67650,72300,77000,25550,29200,32850,36450,39400,42300,45200,48150,15300,17500,21720,26200,30680,35160,39640,44120,637,743,943,1175,1631,943,996,-5.3213,-53
"Bradford town, Maine","Bradford town","2301906575","00",,"01906575",1105,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Bradley town, Maine","Bradley town","2301906680","00",,"01906680",1480,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Brewer city, Maine","Brewer city","2301906925","00",,"01906925",9165,72900,40850,46650,52500,58300,63000,67650,72300,77000,25550,29200,32850,36450,39400,42300,45200,48150,15300,17500,21720,26200,30680,35160,39640,44120,637,743,943,1175,1631,943,996,-5.3213,-53
"Burlington town, Maine","Burlington town","2301909200","00",,"01909200",255,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Carmel town, Maine","Carmel town","2301910670","00",,"01910670",2790,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Carroll plantation, Maine","Carroll plantation","2301910810","00",,"01910810",135,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Charleston town, Maine","Charleston town","2301912105","00",,"01912105",1470,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Chester town, Maine","Chester town","2301912525","00",,"01912525",545,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Clifton town, Maine","Clifton town","2301913365","00",,"01913365",730,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Corinna town, Maine","Corinna town","2301914310","00",,"01914310",1920,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Corinth town, Maine","Corinth town","2301914380","00",,"01914380",2840,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Dexter town, Maine","Dexter town","2301917530","00",,"01917530",3765,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Dixmont town, Maine","Dixmont town","2301917950","00",,"01917950",1270,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Drew plantation, Maine","Drew plantation","2301918580","00",,"01918580",25,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"East Central Penobscot UT, Maine","East Central Penobscot UT","2301919868","00",,"01919868",210,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"East Millinocket town, Maine","East Millinocket town","2301921030","00",,"01921030",1785,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Eddington town, Maine","Eddington town","2301922535","00",,"01922535",2135,72900,40850,46650,52500,58300,63000,67650,72300,77000,25550,29200,32850,36450,39400,42300,45200,48150,15300,17500,21720,26200,30680,35160,39640,44120,637,743,943,1175,1631,943,996,-5.3213,-53
"Edinburg town, Maine","Edinburg town","2301922710","00",,"01922710",120,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Enfield town, Maine","Enfield town","2301923620","00",,"01923620",1530,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Etna town, Maine","Etna town","2301923865","00",,"01923865",1140,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Exeter town, Maine","Exeter town","2301924110","00",,"01924110",1060,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
"Garland town, Maine","Garland town","2301927190","00",,"01927190",1235,57400,37700,43100,48500,53850,58200,62500,66800,71100,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,594,616,811,1011,1099,811,876,-7.4200913,-65
